movie_id,title,release_date,budget,revenue,genres,vote_average,vote_count,country,imdb_id,metacritic_score
634649,Spider-Man: No Way Home,2021-12-15,200000000,1921847111,Science Fiction,8.006,17347,['United States of America'],tt10872600,71
12444,Harry Potter and the Deathly Hallows: Part 1,2010-10-06,250000000,954305868,Adventure,7.767,17345,"['United Kingdom', 'United States of America']",tt0926084,65
12444,Harry Potter and the Deathly Hallows: Part 1,2010-10-06,250000000,954305868,Fantasy,7.767,17345,"['United Kingdom', 'United States of America']",tt0926084,65
245891,John Wick,2014-10-22,20000000,88761661,Action,7.406,17320,['United States of America'],tt2911666,68
245891,John Wick,2014-10-22,20000000,88761661,Thriller,7.406,17320,['United States of America'],tt2911666,68
100402,Captain America: The Winter Soldier,2014-03-20,170000000,714766572,Action,7.675,17282,['United States of America'],tt1843866,70
100402,Captain America: The Winter Soldier,2014-03-20,170000000,714766572,Adventure,7.675,17282,['United States of America'],tt1843866,70
100402,Captain America: The Winter Soldier,2014-03-20,170000000,714766572,Science Fiction,7.675,17282,['United States of America'],tt1843866,70
354912,Coco,2017-10-27,175000000,800526015,Family,8.226,17192,"['Mexico', 'United States of America']",tt2380307,81
354912,Coco,2017-10-27,175000000,800526015,Animation,8.226,17192,"['Mexico', 'United States of America']",tt2380307,81
354912,Coco,2017-10-27,175000000,800526015,Fantasy,8.226,17192,"['Mexico', 'United States of America']",tt2380307,81
354912,Coco,2017-10-27,175000000,800526015,Music,8.226,17192,"['Mexico', 'United States of America']",tt2380307,81
354912,Coco,2017-10-27,175000000,800526015,Comedy,8.226,17192,"['Mexico', 'United States of America']",tt2380307,81
354912,Coco,2017-10-27,175000000,800526015,Adventure,8.226,17192,"['Mexico', 'United States of America']",tt2380307,81
557,Spider-Man,2002-05-01,139000000,821708551,Fantasy,7.267,17089,['United States of America'],tt0145487,73
557,Spider-Man,2002-05-01,139000000,821708551,Action,7.267,17089,['United States of America'],tt0145487,73
49051,The Hobbit: An Unexpected Journey,2012-11-26,250000000,1021103568,Adventure,7.335,17024,"['New Zealand', 'United States of America']",tt0903624,58
49051,The Hobbit: An Unexpected Journey,2012-11-26,250000000,1021103568,Fantasy,7.335,17024,"['New Zealand', 'United States of America']",tt0903624,58
49051,The Hobbit: An Unexpected Journey,2012-11-26,250000000,1021103568,Action,7.335,17024,"['New Zealand', 'United States of America']",tt0903624,58
10681,WALL·E,2008-06-22,180000000,521311860,Animation,8.076,16990,['United States of America'],tt0910970,95
10681,WALL·E,2008-06-22,180000000,521311860,Family,8.076,16990,['United States of America'],tt0910970,95
10681,WALL·E,2008-06-22,180000000,521311860,Science Fiction,8.076,16990,['United States of America'],tt0910970,95
210577,Gone Girl,2014-10-01,61000000,369330363,Mystery,7.892,16944,['United States of America'],tt2267998,79
210577,Gone Girl,2014-10-01,61000000,369330363,Thriller,7.892,16944,['United States of America'],tt2267998,79
210577,Gone Girl,2014-10-01,61000000,369330363,Drama,7.892,16944,['United States of America'],tt2267998,79
281957,The Revenant,2015-12-25,135000000,532950503,Western,7.522,16771,"['Canada', 'Hong Kong', 'Taiwan', 'United States of America']",tt1663202,76
281957,The Revenant,2015-12-25,135000000,532950503,Drama,7.522,16771,"['Canada', 'Hong Kong', 'Taiwan', 'United States of America']",tt1663202,76
281957,The Revenant,2015-12-25,135000000,532950503,Adventure,7.522,16771,"['Canada', 'Hong Kong', 'Taiwan', 'United States of America']",tt1663202,76
585,"Monsters, Inc.",2001-11-01,115000000,579707738,Animation,7.831,16751,['United States of America'],tt0198781,79
585,"Monsters, Inc.",2001-11-01,115000000,579707738,Comedy,7.831,16751,['United States of America'],tt0198781,79
585,"Monsters, Inc.",2001-11-01,115000000,579707738,Family,7.831,16751,['United States of America'],tt0198781,79
209112,Batman v Superman: Dawn of Justice,2016-03-23,250000000,873637528,Action,5.9,16744,['United States of America'],tt2975590,44
209112,Batman v Superman: Dawn of Justice,2016-03-23,250000000,873637528,Adventure,5.9,16744,['United States of America'],tt2975590,44
209112,Batman v Superman: Dawn of Justice,2016-03-23,250000000,873637528,Fantasy,5.9,16744,['United States of America'],tt2975590,44
862,Toy Story,1995-10-30,30000000,373554033,Animation,7.969,16684,['United States of America'],tt0114709,96
862,Toy Story,1995-10-30,30000000,373554033,Adventure,7.969,16684,['United States of America'],tt0114709,96
862,Toy Story,1995-10-30,30000000,373554033,Family,7.969,16684,['United States of America'],tt0114709,96
862,Toy Story,1995-10-30,30000000,373554033,Comedy,7.969,16684,['United States of America'],tt0114709,96
8587,The Lion King,1994-06-23,45000000,763455561,Family,8.259,16521,['United States of America'],tt0110357,88
